<<<<<<< HEAD
1,3.7,48.5,9.3
2,5.7,65.1,8
3,3.8,47.2,10.9
4,3.2,53.2,12
5,3.1,55.5,9.7
6,4.6,36.1,7.9
7,2.4,24.8,14
8,7.2,33.1,7.6
9,6.7,47.4,8.5
10,5.4,54.1,11.3
11,3.9,36.9,12.7
12,4.5,58.8,12.3
13,3.5,27.8,9.8
14,4.5,40.2,8.4
15,1.5,13.5,10.1
16,8.5,56.4,7.1
17,4.5,71.6,8.2
18,6.5,52.8,10.9
19,4.1,44.1,11.2
20,5.5,40.9,9.4
=======
1,3.7,48.5,9.3
2,5.7,65.1,8
3,3.8,47.2,10.9
4,3.2,53.2,12
5,3.1,55.5,9.7
6,4.6,36.1,7.9
7,2.4,24.8,14
8,7.2,33.1,7.6
9,6.7,47.4,8.5
10,5.4,54.1,11.3
11,3.9,36.9,12.7
12,4.5,58.8,12.3
13,3.5,27.8,9.8
14,4.5,40.2,8.4
15,1.5,13.5,10.1
16,8.5,56.4,7.1
17,4.5,71.6,8.2
18,6.5,52.8,10.9
19,4.1,44.1,11.2
20,5.5,40.9,9.4
>>>>>>> 704346157696d5c879444e5bc135c15fa187d2e1
